epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9262.93,1.00915,0.6253,1.01895,0.99956,1,0.995,0.77339,0.92937,0.30874,0.98045,0.00333319,0.00333319,0.00333319
1,1655.84,1.03394,0.48967,1.04116,0.99838,1,0.99481,0.76209,0.93949,0.32491,0.98993,0.0683361,0.00166652,0.00166652
2,3363.9,0.99959,0.42878,1.04356,0.999,1,0.99481,0.77276,0.92745,0.29179,0.99075,0.0366282,0.00329194,0.00329194
3,4933.43,0.9806,0.39818,1.04815,0.99948,1,0.995,0.77392,0.92366,0.2875,0.99978,0.00487907,0.00487611,0.00487611
4,6468.03,0.96586,0.37802,1.04013,0.9997,0.99997,0.995,0.77505,0.92348,0.28803,0.99896,0.00481438,0.00481438,0.00481438
5,8002.47,0.95388,0.36314,1.04174,0.9996,0.99984,0.995,0.77488,0.92502,0.30502,1.00523,0.0047525,0.0047525,0.0047525
6,9655.04,0.94911,0.3571,1.04552,0.9996,0.9996,0.995,0.7716,0.926,0.3425,1.01284,0.00469063,0.00469063,0.00469063
7,11215.7,0.94386,0.35184,1.04921,0.9996,0.9991,0.995,0.77003,0.92753,0.37361,1.02221,0.00462875,0.00462875,0.00462875
8,12778.7,0.94108,0.34849,1.04566,0.9997,0.9991,0.995,0.77052,0.92652,0.38199,1.02536,0.00456687,0.00456687,0.00456687
9,14381.3,0.93811,0.3442,1.05269,0.9997,0.9993,0.995,0.77071,0.9258,0.36713,1.03056,0.004505,0.004505,0.004505
10,16026.4,0.93537,0.34164,1.04775,0.9997,0.9998,0.995,0.77305,0.92424,0.33665,1.03112,0.00444313,0.00444313,0.00444313
11,17624.2,0.93349,0.33898,1.04467,0.9996,1,0.995,0.77589,0.92187,0.31245,1.02882,0.00438125,0.00438125,0.00438125
12,19164.3,0.93198,0.33661,1.02695,0.99988,0.9998,0.995,0.77916,0.91884,0.29383,1.01682,0.00431938,0.00431938,0.00431938
13,20698.1,0.931,0.33491,1.03039,0.99997,0.9998,0.995,0.78156,0.91568,0.28202,1.01111,0.0042575,0.0042575,0.0042575
14,22231,0.92671,0.33173,1.01985,0.99999,0.9999,0.995,0.78328,0.91292,0.27371,1.00268,0.00419563,0.00419563,0.00419563
15,23815.1,0.92722,0.3301,1.02246,1,0.99999,0.995,0.78389,0.9108,0.26829,0.99649,0.00413375,0.00413375,0.00413375
16,25356,0.92295,0.32826,1.01515,0.99998,1,0.995,0.78447,0.90867,0.26479,0.99127,0.00407187,0.00407187,0.00407187
17,26890.6,0.92271,0.32815,1.01389,0.99999,1,0.995,0.78439,0.90727,0.26229,0.98661,0.00401,0.00401,0.00401
18,28419.9,0.92299,0.32562,1.0082,0.99999,1,0.995,0.78502,0.90586,0.26007,0.98198,0.00394813,0.00394813,0.00394813
19,29983.2,0.92233,0.32446,1.01043,0.99999,1,0.995,0.78607,0.90416,0.25875,0.97977,0.00388625,0.00388625,0.00388625
20,31532.4,0.92135,0.32459,1.01466,0.99999,1,0.995,0.78599,0.9034,0.25742,0.97849,0.00382438,0.00382438,0.00382438
21,33073.9,0.91915,0.32236,1.01094,0.99999,1,0.995,0.78687,0.90239,0.25633,0.97732,0.0037625,0.0037625,0.0037625
22,34680.9,0.91853,0.32292,1.01203,0.99999,1,0.995,0.78635,0.90163,0.25534,0.977,0.00370063,0.00370063,0.00370063
23,36225.7,0.91835,0.32211,1.00881,0.99997,1,0.995,0.78695,0.90062,0.25473,0.97596,0.00363875,0.00363875,0.00363875
24,37776.5,0.91861,0.32112,1.01045,0.99988,1,0.995,0.78673,0.90004,0.25382,0.97605,0.00357688,0.00357688,0.00357688
25,39343.3,0.91773,0.31902,1.0122,0.9999,1,0.995,0.78648,0.89949,0.25313,0.97674,0.003515,0.003515,0.003515
26,40915.1,0.91529,0.31913,1.00856,0.99988,1,0.995,0.78694,0.89896,0.25292,0.97578,0.00345313,0.00345313,0.00345313
27,42489.7,0.91545,0.31766,1.00749,0.99988,1,0.995,0.78656,0.902,0.25932,0.97629,0.00339125,0.00339125,0.00339125
28,45933.7,0.91634,0.31777,1.02001,0.99988,1,0.995,0.78606,0.9028,0.26287,0.9813,0.00332937,0.00332937,0.00332937
29,47514.6,0.91379,0.31557,1.00979,0.99987,1,0.995,0.78553,0.904,0.27045,0.98034,0.0032675,0.0032675,0.0032675
30,49102.4,0.9128,0.31387,1.00765,0.99988,1,0.995,0.78571,0.90324,0.26879,0.98019,0.00320562,0.00320562,0.00320562
31,50703.9,0.91317,0.31394,1.00529,0.99988,1,0.995,0.78613,0.9042,0.28347,0.98057,0.00314375,0.00314375,0.00314375
32,52298.5,0.91044,0.31304,1.00575,0.99987,1,0.995,0.78646,0.90319,0.28249,0.97908,0.00308187,0.00308187,0.00308187
33,53905,0.91075,0.31246,1.01385,0.99561,1,0.99482,0.78583,0.90582,0.28545,0.98123,0.00302,0.00302,0.00302
34,55503.9,0.90996,0.31162,1.00737,0.99685,1,0.99481,0.7859,0.90447,0.28429,0.98127,0.00295813,0.00295813,0.00295813
35,57042.4,0.90913,0.31148,1.01818,0.99596,1,0.99479,0.78582,0.90529,0.28621,0.98399,0.00289625,0.00289625,0.00289625
36,58607.4,0.90925,0.31195,1.02322,0.99622,1,0.99475,0.78481,0.90817,0.28566,0.98878,0.00283438,0.00283438,0.00283438
37,60145,0.9095,0.31035,1.0237,0.99569,1,0.99472,0.78561,0.90773,0.28739,0.99137,0.0027725,0.0027725,0.0027725
38,61681.8,0.90805,0.31106,1.03284,0.99698,1,0.9948,0.78587,0.90708,0.28743,0.99528,0.00271062,0.00271062,0.00271062
39,63225.4,0.90742,0.30914,1.01146,0.99738,1,0.99483,0.78582,0.90563,0.28557,0.99249,0.00264875,0.00264875,0.00264875
40,64770.8,0.90791,0.30856,1.00725,0.99733,1,0.99485,0.78561,0.90492,0.28357,0.98939,0.00258687,0.00258687,0.00258687
41,66297.4,0.90762,0.30958,1.01423,0.99828,1,0.9949,0.78594,0.90446,0.28361,0.98793,0.002525,0.002525,0.002525
42,67846.2,0.9073,0.30748,1.02365,0.99769,1,0.99488,0.78586,0.90476,0.28551,0.98988,0.00246313,0.00246313,0.00246313
43,69410.2,0.90706,0.30652,1.01297,0.9881,1,0.99472,0.78544,0.91005,0.29531,0.9914,0.00240125,0.00240125,0.00240125
44,70985.7,0.90444,0.30461,1.01232,0.98713,1,0.99465,0.78517,0.91042,0.29576,0.99042,0.00233938,0.00233938,0.00233938
45,72591.1,0.90548,0.30397,1.01697,0.98697,1,0.9947,0.78474,0.91014,0.29711,0.99169,0.0022775,0.0022775,0.0022775
46,74263.1,0.90415,0.30327,1.01026,0.98786,1,0.99468,0.78439,0.90937,0.29561,0.99054,0.00221563,0.00221563,0.00221563
47,75824.8,0.90226,0.302,1.00499,0.99097,1,0.99477,0.78541,0.90909,0.29412,0.98798,0.00215375,0.00215375,0.00215375
48,77343.7,0.90276,0.30276,1.00624,0.98961,1,0.99469,0.78559,0.90925,0.2942,0.98623,0.00209187,0.00209187,0.00209187
49,78873.5,0.9025,0.30211,1.02084,0.98521,1,0.99451,0.78505,0.91048,0.29836,0.98856,0.00203,0.00203,0.00203
50,80441,0.90179,0.30122,1.01876,0.97937,1,0.99423,0.7842,0.91203,0.30301,0.99064,0.00196812,0.00196812,0.00196812
51,82043,0.90145,0.29949,1.00789,0.98307,1,0.99437,0.78517,0.91103,0.3012,0.98894,0.00190625,0.00190625,0.00190625
52,83604.6,0.90137,0.29986,1.01291,0.98341,1,0.9944,0.78476,0.91122,0.30174,0.98934,0.00184438,0.00184438,0.00184438
53,85180.9,0.899,0.29901,1.0138,0.98161,1,0.99434,0.78405,0.91186,0.30386,0.99017,0.0017825,0.0017825,0.0017825
54,86701.9,0.89965,0.29803,1.01473,0.98405,1,0.9943,0.78465,0.91132,0.30294,0.99116,0.00172063,0.00172063,0.00172063
55,88236.3,0.89817,0.29741,1.02279,0.98393,1,0.99435,0.78394,0.9112,0.30442,0.99414,0.00165875,0.00165875,0.00165875
56,89758.1,0.89902,0.29656,1.01619,0.98444,1,0.9943,0.78345,0.91047,0.30362,0.99434,0.00159688,0.00159688,0.00159688
57,91303.6,0.89818,0.29703,1.01367,0.98469,1,0.99438,0.78427,0.91016,0.30351,0.99415,0.001535,0.001535,0.001535
58,92824.9,0.89648,0.29557,1.00457,0.98608,1,0.99438,0.78428,0.90928,0.30042,0.9917,0.00147312,0.00147312,0.00147312
59,94343.3,0.89543,0.29411,1.00214,0.98501,1,0.99444,0.78547,0.90765,0.297,0.98814,0.00141125,0.00141125,0.00141125
60,95878,0.89626,0.29333,1.00573,0.98722,1,0.99449,0.78605,0.90753,0.29617,0.98772,0.00134937,0.00134937,0.00134937
61,97392.6,0.89572,0.29334,1.01181,0.989,1,0.99459,0.78585,0.9081,0.29768,0.98938,0.0012875,0.0012875,0.0012875
62,98905.4,0.89453,0.29333,1.01506,0.98982,1,0.99461,0.78574,0.90898,0.30037,0.99267,0.00122563,0.00122563,0.00122563
63,100419,0.89477,0.29172,1.01368,0.99116,1,0.99468,0.7849,0.90985,0.30252,0.99444,0.00116375,0.00116375,0.00116375
64,101927,0.89359,0.29279,1.01615,0.99452,1,0.99485,0.78528,0.91041,0.30524,0.99712,0.00110188,0.00110188,0.00110188
65,103423,0.89365,0.29106,1.01679,0.99384,1,0.99479,0.78478,0.91043,0.30759,0.9995,0.00104,0.00104,0.00104
66,104922,0.8925,0.29097,1.02274,0.99482,1,0.99488,0.78474,0.91044,0.30986,1.00362,0.000978125,0.000978125,0.000978125
67,106417,0.89184,0.28968,1.01951,0.99511,1,0.99487,0.7858,0.91163,0.31207,1.0061,0.00091625,0.00091625,0.00091625
